question_id,question,context,answer,answer_start,answer_end,title
10,기업이 생산물 판매가 활발하게 일어날 때 필요한 것은 무엇인가요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다.",시설을 확장하기 위해서 돈이 필요,196.0,214.0,10
11,가계·기업·정부 모두 언제 적자가 될 수 있을까요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다.",가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다.,268.0,324.0,11
12,흑자 주체와 적자 주체의 돈 이동을 뭐라고 하나요?,"기업들은 생산요소를 구입하여 생산 활동을 함으로써 매출과 이익을 올리고 있다. 성공적인 경제활동을 했다면 비용보다 수입이 크게 될 것이다. 기업의 소득은 주주들에게 배당하기도 하고 새로운 사업을 위하여 직접 보유하기도 한다. 그럼에도 기업은 현재의 생산을 유지하거나 새로운 사업을 위해서 항상 자금이 필요하다. 기업은 생산물 판매가 활발하게 일어나면 시설을 확장하기 위해서 돈이 필요하고, 반대로 판매 수입이 줄어들면 부족한 돈을 빌리게 되므로 통상적으로 자금의 수요자가 된다. 가계·기업·정부 모두 수입보다 지출이 많으면 적자가 되고 반대로 수입보다 지출이 적으면 흑자가 된다. 흑자 주체는 자신들의 돈을 효과적으로 활용하기 위하여 다양한 방법으로 돈을투자하게 되고 반대로 적자 주체는 필요한 돈을 마련하기 위해서 돈을 빌리게 된다. 이와 같이 흑자 주체에서 적자 주체로 돈이 이동하는 것을 금융이라 한다.",금융이라 한다.,444.0,452.0,12
13,흑자 주체와 적자 주체 중 어떤 주체가 돈을 빌려주는 역할을 하나요?,즉 여유자금이 있는 흑자 주체(저축자: 공급자)가 돈을 빌려주거나 적자 주체(차입자: 수요자)가 돈을 빌리는 것을 금융이라 하고 금융거래가 일어나는 곳을 금융시장이라고 한다. 생산·소비·유통·분배와 같은 경제활동이 원활하게 일어나기 위해서는 각 경제주체 간에 일어나는 거래를 뒷받침할 수 있는 돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다. 선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.,여유자금이 있는 흑자 주체(저축자: 공급자),2.0,26.0,13
14,금융시장이 무엇인가요?,즉 여유자금이 있는 흑자 주체(저축자: 공급자)가 돈을 빌려주거나 적자 주체(차입자: 수요자)가 돈을 빌리는 것을 금융이라 하고 금융거래가 일어나는 곳을 금융시장이라고 한다. 생산·소비·유통·분배와 같은 경제활동이 원활하게 일어나기 위해서는 각 경제주체 간에 일어나는 거래를 뒷받침할 수 있는 돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다. 선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.,금융거래가 일어나는 곳,72.0,84.0,14
15,왜 금융시장은 경제활동을 원활하게 도와줄 필요가 있을까요?,즉 여유자금이 있는 흑자 주체(저축자: 공급자)가 돈을 빌려주거나 적자 주체(차입자: 수요자)가 돈을 빌리는 것을 금융이라 하고 금융거래가 일어나는 곳을 금융시장이라고 한다. 생산·소비·유통·분배와 같은 경제활동이 원활하게 일어나기 위해서는 각 경제주체 간에 일어나는 거래를 뒷받침할 수 있는 돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다. 선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.,돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다,164.0,213.0,15
16,선진국과 개발도상국의 금융시장 상황에는 어떤 차이가 있을까요?,즉 여유자금이 있는 흑자 주체(저축자: 공급자)가 돈을 빌려주거나 적자 주체(차입자: 수요자)가 돈을 빌리는 것을 금융이라 하고 금융거래가 일어나는 곳을 금융시장이라고 한다. 생산·소비·유통·분배와 같은 경제활동이 원활하게 일어나기 위해서는 각 경제주체 간에 일어나는 거래를 뒷받침할 수 있는 돈의 양이 충분해야 하고 돈의 흐름을 원활하게 해주는 금융시장이 잘 발달되어 있어야 한다. 선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.,선진국들은 생산물의 크기도 크지만 경제활동을 뒷받침하는 금융시장도 잘 발달되어 있는 데 비해서 개발도상국들은 상대적으로 생산성도 낮고 금융시장도 낙후되어 있다.,215.0,304.0,16
17,금융이란 무엇을 유연하게 도와주는 역할인가요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.",경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융,14.0,51.0,17
18,경제활동의 기본은 무엇이라고 할 수 있을까요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.",사고 파는 것 혹은 수요와 공급,112.0,129.0,18
19,상품을 구입할 때 필요한 자금을 어디에서 가져올 수 있나요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.",은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각,181.0,228.0,19
20,신용카드와 대출을 제공하는 것이 무엇인가요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.","신용카드, 대출을 제공하는 것이 금융회사",279.0,301.0,20
21,금융회사의 도움이 없으면 어떤 경우에 거래가 원활하게 이루어지기 어려울까요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.",대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다,337.0,397.0,21
22,금융은 무엇을 가진 사람들의 돈을 모아서 할까요?,"앞에서 살펴본 바와 같이 경제활동이 원활하게 일어날 수 있도록 윤활유 역할을 하는 것이 금융(finance)이다. 금융이 없으면 생산·소비·유통·분배활동이 부드럽게 일어날 수 없다. 경제활동의 기본은 사고 파는 것 혹은 수요와 공급이라 할 수 있는데 이 과정에서 수많은 자금이 이동하게 된다. 상품을 구입할 때 필요한 자금을은행에서 인출하기도 하고 집이나 자동차를 살 때는 펀드를 해약하거나 다른 자산을 매각하기도 한다. 또한신용카드를 사용하거나 대출을 통하여 돈을 마련할 수도 있다. 이때 현금, 신용카드, 대출을 제공하는 것이 금융회사이다. 국내에서의 소규모 거래에는 별도로 금융회사가 필요 없지만 대규모 거래나 국제 거래에는 반드시 금융회사의 도움이 있어야 거래에 필요한 결제가 원만하게 이루어질 수 있다. 금융은 여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다. 사람들이은행에저축을 하면 이 돈을 모아서 돈이 필요한 가계, 기업 그리고 정부에 대출하는 것이 전형적인 자금중개 형태였다.",여유자금을 가진 사람들의 돈을 모아서 자금이 필요한 사람에게로 전달하는 중개기능을 한다.,403.0,452.0,22
23,금융회사들은 어떤 사람들 사이에서 가격(이자율)을 조정하거나 평가할까요?,그러나 금융시장이 발달함에 따라서 채권이나 주식을 통한 금융 중개도 활발해졌다. 정부나 기업이 국채나 회사채를 발행하면 금융회사가 이런 채권을 인수하여 저축자나 투자자에게 판매하는데 이 경우도 흑자 주체로부터 적자 주체로 자금 이동을 중개하는 것이다. 금융회사들은 자금 중개를 위해서 돈을 빌리는 사람의 신용도를 평가하기도 하고 돈을 저축하는 사람들과 돈을 빌리는 사람 사이에서 가격(이자율)을 조정하기도 한다. 또 자금의 만기나 크기를 재조정하기도 하여 자금이 원활하게 이동하도록 돕고 있다. 따라서 금융산업의 중개기능은 자금의 효율적인 이용을 가능하게 하여 경제 발전에 기여하고 있다. 금융은 개인·기업·정부에 필요한 유동성을 제공하는 역할을 한다. 개인·기업·정부가 자신들이 소유한 자산을 필요할 때 쉽게 현금으로 전환하는 것은 금융의 도움이 있어야 가능하다.,돈을 저축하는 사람들과 돈을 빌리는 사람 사이,184.0,209.0,23
24,금융시장의 역할 중 하나는 무엇을 구축하는 것일까요?,"개인들은 뜻밖의 현금이 필요할 때가 있고 기업들은 수입과 지출 사이에 차이가 있거나 새로운 사업기회가 필요할 때 추가적으로 돈이 필요하다. 역사적으로는 물물 교환을 한 적도 있지만 현대사회의 수많은 거래나 지불은 금융의 도움이 없으면 불가능하다. 멀리 떨어진 사람 간의 거래, 심지어는 외국에 사는 사람과의 거래는 물론이고 사용하는 화폐가 다른 경우에도 거래와 지불을 가능하게 해주는 것이 현대 금융의 역할이다. 특히 금융 산업의 발달에 따라서 현금은 물론이고신용카드, 체크카드, 전자상거래와 같이 수많은 지불수단이 등장하였다. 금융의 첫 번째 역할은 안전하고 편리한 지불 시스템을 구축하여 거래가 가능하도록 하는 것이다. 다음으로 금융은 금융거래에서 발생하는 비용과 시간을 줄여준다. 금융시장이 없다면 여유자금을 가진 사람은 돈을 빌려주거나저축할 곳을 찾는 데 시간과 노력이 많이 필요할 것이고 반대로 자금이 필요한 사람들도 필요한 자금을 조달할 곳을 찾아 다녀야 한다.",안전하고 편리한 지불 시스템을 구축,309.0,328.0,24
25,금융은 어떤 사람들에게 유동성을 제공하며 어떤 상황에서 도움이 되나요?,그러나 금융시장이 발달함에 따라서 채권이나 주식을 통한 금융 중개도 활발해졌다. 정부나 기업이 국채나 회사채를 발행하면 금융회사가 이런 채권을 인수하여 저축자나 투자자에게 판매하는데 이 경우도 흑자 주체로부터 적자 주체로 자금 이동을 중개하는 것이다. 금융회사들은 자금 중개를 위해서 돈을 빌리는 사람의 신용도를 평가하기도 하고 돈을 저축하는 사람들과 돈을 빌리는 사람 사이에서 가격(이자율)을 조정하기도 한다. 또 자금의 만기나 크기를 재조정하기도 하여 자금이 원활하게 이동하도록 돕고 있다. 따라서 금융산업의 중개기능은 자금의 효율적인 이용을 가능하게 하여 경제 발전에 기여하고 있다. 금융은 개인·기업·정부에 필요한 유동성을 제공하는 역할을 한다. 개인·기업·정부가 자신들이 소유한 자산을 필요할 때 쉽게 현금으로 전환하는 것은 금융의 도움이 있어야 가능하다.,개인·기업·정부에 필요한 유동성을 제공하는 역할을 한다,334.0,364.0,25
